1.1838,0.5593,0.7986,0.5489
0.2721,0.9081,0.9169,0.2745
0.1493,0.9535,0.9349,0.2501
0.1033,0.9700,0.9224,0.3754
0.1020,0.9754,0.9300,0.3707
0.0799,0.9806,0.9180,0.5026
0.0736,0.9806,0.9390,0.4057
0.0679,0.9834,0.9237,0.6387
0.0773,0.9842,0.9369,0.5552
0.0657,0.9838,0.9353,0.5148
0.0590,0.9890,0.9296,0.5154
0.0675,0.9874,0.9290,0.6557
0.0399,0.9926,0.9302,0.7069
0.0714,0.9888,0.9480,0.5314
0.0521,0.9894,0.9296,0.7572
0.0466,0.9906,0.9300,0.8466
0.0699,0.9878,0.9312,0.7374
0.0658,0.9884,0.9402,0.5317
0.0433,0.9902,0.9278,0.7434
0.0800,0.9892,0.9490,0.5602
